accession_number	short_title	description	fabric
14.9.83	Attic black figure; added colour; incised lekanis fragment	Interior black, with two concentric red circles; flat rim is decorated with three uneven rows of black dots; exterior decorated with a black band, just below rim; in figural zone, two confronting sirens with rosettes in field; below, two horizontal lines, above rays.  Red for breast and base of wing of both and for streak across body of siren on left.  Incisions.	Attic
14.9.84	Corinthian kylix	Outer surface shows has a reserved band between two black ones.  The main picture slightly overlaps these bands and is the fore-part of a horse galloping right, added red and incised for detail with the tail of another horse in front of it.  There is a very small part of a rosette with incised petals in the top right corner.  On the interior surface at the top (below missing offset rim) is a reserved band.  The rest is painted black.	Corinthian
14.9.85	Attic black figure little master cup	Interior black and glazed.  Exterior is black above the scene of a youth riding a horse.  Only top third of horse is visible.  Added red on hair, horses mane, tail and flank.	Attic
14.9.86	Attic black figure kylix	Interior black as is handle on top although it is reserved underneath.  The design appears to the right of existing handle, and is of a satyr, facing right, with horn in thinned paint. To his righs is an eye pattern.  Detail is incised.	Attic
14.9.87	Attic black figure little master cup	Black above and below.  In reserved area a swan left, wings raised.  To left, a pseudo-inscription.	Attic
14.9.89	Attic black figure kylix fragment	Two figures, facing, holding hands.  Vines with leaves in the background.  Unidentified figure (cloth?) in upper right-hand corner.	Attic
14.9.9	Thessalian	Core red. Surface red, with linear decoration in black on both sides.  No finished edges.	Thessalian
14.9.90	black figure kylix fragment	Female figure, clad in himation, with head turned to left.  Has arms outstretched, as though holding hands in a circle.  Vine with leaves in the field.	 
14.9.91	Attic black figure kylix fragment	Bearded man riding horse at left, dark featureless figure at right.	Attic
14.9.92	Attic black figure kylix fragment	 	Attic
16.11.2	 	 	 
16.2.1	Campanian black glaze; ruddled askos	Foot-ring reserved.  Flat base ruddled.	Campanian
19.53.86	moulded figurine	Head of female with her head tilted to the left. Hair in a sakkos with ringlets dropping in front of her ears to the sides of her face.	 
20.4.1	Attic black glaze stemless cup	Resting surface black, base black with cushion mouldings. Inside, remains of an incised pattern showing part of an outer zone of tongues from a double (or triple) rosette.	Attic
2001. 10.2.139	gem cast	Pictures a woman on a chariot being pulled by two elephants, two figures are riding the elephants. \\nNumber 10.	 
2002.10.2.1	gem casts	Head and shoulders of an elderly man facing left	 
2002.9.4	carved barbitos	A reconstruction of a barbiton comprised of a heart shaped wooden frame with a horizontal bar at the top to which the seven strings are attached.  The strings are arranged vertically and are attached at the bottom where there is a tortoise shell with some sort of drum skin drawn taught across the top. A red ribbon has been added for decoration to the left at the bottom.	 
2002.9.5	carved kithara	A reconstruction of a kithara.  Similarly to the barbitos, wooden frame with a horizontal bar resting across the top to which the seven strings are attached.  Ornate carving and curls down each side.  The lower part is a thicker section of wood with a bridge (as on our stringed instruments of today) to hold the strings taught.  Zig zag carving at base for decoration and a red ribbon for the musician to hold attached to bottom right.	 
2002.9.6	carved lyre	A reconstruction.  Heart shaped frame with horizontal bar with seven strings attached to top.  At bottom is a toirtoise shell with drum skin, taught over the top.  Red ribbon attached to bottom right.  Smaller than barbitos.	 
2003.3.37	Boeotian fragment	Interior, 2 bands in added red. Exterior, vertical lines above a horizonatal line at rim, with band and line below all in added red. Additional patches of added red are visible below, probably forming a pattern	Boeotian
2003.6.18	Laconian fragment	Base fragment of a small pot, decorated with three straight lines at the base, two of which are black; the middle one is of a faded purple colour.  Above the lines is a large black pattern which takes up nearly all of the space left on the fragment. The interior is decorated with a black gloss.	Laconian
2003.6.19	black glaze; white ground fragment	Two lines, one black and one red, towards one end of the fragment; covered with a white ground, which has worn of around the edges revealing the darker coloured terracotta underneath.  Black glazed on the interior.	 
2003.6.20	Minoan relief pithos fragment	Reserved and decorated with three wavy relief bands.	Minoan
2003.7.15	Laconian fragment	Piece of fragment made of red clay with pattern both sides. Fragment is slightly curved, with a small rim at the top suggesting it could be part of a decorative plate or bowl. Side A, which is possible the interior, has a broad black line at the bottom - possibly this was the colour of the interior, with five rough circles in a row, alternating black and red from the left hand side, painted on top of a white background. Side B has a similar broad black line at the bottom, with a broad white line painted at the top and several faded black vertical lines painted over the white. The shape of the fragment is rectangular, and it slopes to a point at the right hand side.	Laconian
2003.7.16	Laconian fragment	Curved fragment with rim and stump of handle suggests it was a bowl or cup due to how it open it appears as a shape. The interior is painted entirely in black, with a hint of red (fading?) near the top. The exterior has two black bands, one on the rim and one below the rim which also covers the handle stump. Beneath the handle there is a strip of faded white paint, followed by a red\\/dark brown stripe, then the rest is white with a thin horizontal black line and possible a thicker vertical black line dividing the white decoration in half.	Laconian
2003.7.17	Laconian fragment	Base of a pot\\/bowl\\/cup. Interior is decorated in black. Exterior has signs of vertical black stripes on the body, and narrow black circular bands painted on the base.	Laconian
2003.7.18	Laconian fragment	Part of a base of a bowl\\/jar. Interior is painted in bla, Exterior: bottom of body, side of rim on base and inside of rim on base is painted in black. Then the underside has a broad band of white, and an inner circle of red\\/dark brown paint.	Laconian
2003.7.19	Laconian fragment	Possibly part of rim and body of a bowl\\/jar, due to the smoothness of the top of the fragment. Side is shows indication of being the interior, due to the plain black colour painted on. The exterior, side B, has been painted in white with a narrow area of black at the bottom. There is indication of two parallel lines of small black dots, in between which are two narrow parallel black bands with squares of black between them.	Laconian
2003.7.20	Laconian fragment	Fragment of rim, body and stump of handle of a bowl\\/jar. Interior is painted in black. Exterior has the rim painted in a broad band of white, with signs of parallel lines of black dots at the edge of the white. There are also indications of two narrow parallel lines, with black squares in between them. The body\\/shoulder and handle are painted in black.	Laconian
2003.7.21	Laconian fragment	Single rim fragment of an open vessel. The interior is black. Exterior: rim white, between two rows of black dots; two black lines in the middle, with black squares between them.	Laconian
2003.7.22	Laconian fragment	Possibly top part of a bowl\\/jug due to smooth edge of rim and the way it curves half way down. The interior side is painted in black. The exterior has the top half painted in white, with two lines of small black dots parellel to each other at the edges of the white paint. There are two dark brown\\/faded blakc parellel lines which have two black squares at either end of them. There is a narrow red line beneath the white, with a black area beneath that. The clay is quite smooth.	Laconian
